Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2020/1/5, 23:00:00, 1.1208, 1.1216, 1.1208, 1.1210, 78, 64, 47, 31
2020/1/6, 00:00:00, 1.1209, 1.1217, 1.1209, 1.1212, 41, 36, 29, 12
2020/1/6, 01:00:00, 1.1212, 1.1214, 1.1211, 1.1212, 24, 20, 11, 13
2020/1/6, 02:00:00, 1.1212, 1.1216, 1.1212, 1.1214, 27, 18, 20, 7
2020/1/6, 03:00:00, 1.1216, 1.1221, 1.1215, 1.1215, 73, 53, 38, 35
2020/1/6, 04:00:00, 1.1214, 1.1215, 1.1211, 1.1213, 38, 31, 14, 24
2020/1/6, 05:00:00, 1.1214, 1.1214, 1.1209, 1.1211, 60, 43, 32, 28
2020/1/6, 06:00:00, 1.1209, 1.1210, 1.1206, 1.1209, 38, 35, 26, 12
2020/1/6, 07:00:00, 1.1211, 1.1215, 1.1209, 1.1214, 82, 75, 31, 51
2020/1/6, 08:00:00, 1.1214, 1.1228, 1.1211, 1.1228, 171, 133, 72, 99
2020/1/6, 09:00:00, 1.1227, 1.1242, 1.1224, 1.1242, 245, 192, 107, 138
2020/1/6, 10:00:00, 1.1242, 1.1248, 1.1239, 1.1246, 242, 207, 109, 133
2020/1/6, 11:00:00, 1.1245, 1.1255, 1.1245, 1.1252, 203, 189, 94, 109
2020/1/6, 12:00:00, 1.1251, 1.1253, 1.1244, 1.1247, 162, 132, 84, 78
2020/1/6, 13:00:00, 1.1248, 1.1252, 1.1241, 1.1247, 181, 145, 88, 93
2020/1/6, 14:00:00, 1.1248, 1.1248, 1.1232, 1.1232, 139, 113, 74, 65
2020/1/6, 15:00:00, 1.1233, 1.1239, 1.1232, 1.1239, 141, 115, 70, 71
2020/1/6, 16:00:00, 1.1236, 1.1237, 1.1230, 1.1236, 72, 62, 34, 38
2020/1/6, 17:00:00, 1.1234, 1.1245, 1.1234, 1.1244, 70, 60, 26, 44
2020/1/6, 18:00:00, 1.1243, 1.1247, 1.1243, 1.1243, 37, 26, 15, 22
2020/1/6, 19:00:00, 1.1241, 1.1242, 1.1237, 1.1242, 43, 35, 18, 25
2020/1/6, 20:00:00, 1.1241, 1.1243, 1.1239, 1.1243, 33, 28, 19, 14
2020/1/6, 21:00:00, 1.1242, 1.1248, 1.1242, 1.1245, 57, 48, 30, 27
2020/1/6, 23:00:00, 1.1245, 1.1246, 1.1243, 1.1244, 11, 11, 6, 5
2020/1/7, 00:00:00, 1.1242, 1.1243, 1.1238, 1.1238, 40, 35, 14, 26
2020/1/7, 01:00:00, 1.1238, 1.1246, 1.1238, 1.1244, 32, 28, 10, 22
2020/1/7, 02:00:00, 1.1241, 1.1241, 1.1239, 1.1240, 24, 16, 16, 8
2020/1/7, 03:00:00, 1.1240, 1.1243, 1.1240, 1.1240, 21, 19, 13, 8
2020/1/7, 04:00:00, 1.1242, 1.1242, 1.1239, 1.1239, 12, 12, 5, 7
2020/1/7, 05:00:00, 1.1239, 1.1240, 1.1232, 1.1232, 32, 29, 24, 8
2020/1/7, 06:00:00, 1.1231, 1.1237, 1.1230, 1.1230, 133, 112, 94, 39
2020/1/7, 07:00:00, 1.1230, 1.1233, 1.1222, 1.1222, 178, 146, 92, 86
2020/1/7, 08:00:00, 1.1223, 1.1236, 1.1221, 1.1233, 107, 98, 62, 45
2020/1/7, 09:00:00, 1.1234, 1.1238, 1.1228, 1.1233, 138, 115, 69, 69
2020/1/7, 10:00:00, 1.1234, 1.1235, 1.1213, 1.1222, 356, 283, 192, 164
2020/1/7, 11:00:00, 1.1225, 1.1233, 1.1221, 1.1230, 129, 113, 72, 57
2020/1/7, 12:00:00, 1.1230, 1.1231, 1.1220, 1.1222, 121, 94, 63, 58
2020/1/7, 13:00:00, 1.1223, 1.1226, 1.1203, 1.1203, 314, 233, 175, 139
2020/1/7, 14:00:00, 1.1204, 1.1211, 1.1193, 1.1194, 332, 264, 172, 160
2020/1/7, 15:00:00, 1.1195, 1.1199, 1.1182, 1.1189, 301, 247, 165, 136
2020/1/7, 16:00:00, 1.1188, 1.1192, 1.1181, 1.1185, 104, 89, 58, 46
2020/1/7, 17:00:00, 1.1185, 1.1195, 1.1185, 1.1190, 95, 77, 40, 55
2020/1/7, 18:00:00, 1.1190, 1.1198, 1.1189, 1.1192, 67, 52, 33, 34
2020/1/7, 19:00:00, 1.1191, 1.1192, 1.1191, 1.1191, 21, 20, 14, 7
2020/1/7, 20:00:00, 1.1193, 1.1196, 1.1191, 1.1191, 21, 20, 9, 12
2020/1/7, 21:00:00, 1.1191, 1.1202, 1.1191, 1.1202, 77, 67, 45, 32
2020/1/7, 23:00:00, 1.1196, 1.1201, 1.1195, 1.1200, 49, 42, 28, 21
